,1_PINT-invitro.counts,10_PINT-Conv.counts,11_PINT-Conv.counts,12_PINT-Conv.counts,2_PINT-invitro.counts,3_PINT-invitro.counts,4_PINT-invitro.counts,5_PINT-eSPF.counts,6_PINT-eSPF.counts,7_PINT-eSPF.counts,8_PINT-eSPF.counts,9_PINT-Conv.counts
PINT_02791,0.882912398449532,-1.24826077292442,-1.30587577711099,-0.343326398702873,1.14687881590623,1.20884944251977,1.06059362861226,0.568917520620109,-0.589446932365589,-0.708757317490549,-1.21318295167184,0.540698344158386
PINT_02792,1.23245992954169,-0.923909028187676,-1.11678297485842,-0.502289587234274,1.23029652240594,1.1876451679258,1.04472994112055,0.249863454580273,-0.689239457773192,-0.73459239002705,-1.37136512382308,0.393183546329416
PINT_02793,-1.26383698230164,0.127738384724154,0.495536992940812,1.4661902491618,-1.21337195624356,-1.30235576821385,-1.37630536045842,0.574233835695632,0.677817635827978,0.554517020695618,0.76820400521171,0.491631942959766
PINT_00866,-0.916559266662667,-1.01193435224868,-0.0825401047184244,0.762773883389385,-0.883371446221255,-0.777043826334937,-0.885903629775748,0.641911114183133,0.398358730838942,0.381058232123036,-0.00631208315956329,2.37956274858678
PINT_00867,-0.647569208401713,-0.846133451670973,-0.0125021057439218,0.897200576020085,-0.772743795828512,-0.643786918297322,-0.715160704630667,0.387965400380692,0.0680286151362463,0.0593664898486444,-0.452869119519177,2.67820422270662
PINT_01043,1.75426320491157,-1.18104583366141,0.181677991054857,-0.366861002887502,1.17899815506062,0.991621931897108,0.769830244822166,0.162139280996944,-0.754204856057765,-0.839577137266354,-1.33254305359348,-0.564298925276745
PINT_01044,2.01831720374436,-1.29521505038297,-0.722652750366422,-0.75943229144005,1.09654970261872,0.752991822193208,0.748924537526321,0.221650128074734,-0.124561020113289,-0.36054332064099,-0.350422215154825,-1.2256067460588
PINT_01251,-1.6370268231906,0.571987593107191,0.210988638244778,0.391027607956124,-0.837250762713829,-0.875264786932525,-1.06919973555975,0.252831044713666,1.11798587491471,0.849412084124339,1.65793407227745,-0.633424806941541
PINT_01252,-0.0595117208741605,0.36071517091176,-0.785285070115107,-0.238427785683286,2.73204689814247,-0.882620890512897,-0.807552134928618,0.0298574994455395,-0.871069609070388,0.544072716863564,0.336498090810605,-0.358723164989477
PINT_01253,0.624475799049105,0.369100601482561,1.26736251992301,0.183331578265881,0.233103847766316,-0.207994751773814,-0.280035489166998,-0.0323643668318181,-1.18390135253235,-1.24104547721747,-1.55112631438169,1.81909340541727
PINT_01254,0.390694997349963,1.14246445920234,-0.96805114042139,0.070621160126753,0.174501228122232,-1.33425073710352,-1.14227952608232,-1.32946623273151,0.57072337356278,1.47048393235157,1.09914105075052,-0.144582565127458
PINT_01255,0.853941823456254,-1.34479244235785,-1.05183999641526,-0.895192411751817,-0.396529985990582,-0.498232742186001,-0.564239905554021,2.14982462488046,0.76707932728045,0.606929532395531,0.488715778829073,-0.115663602586233
PINT_01256,1.02062946709592,-1.26351953903213,-1.38956410144106,-0.644083378576863,-0.326625170750484,-0.575039794700901,-0.492443214809049,1.96730021431441,0.677958867699437,0.745579068090828,0.593398189876935,-0.313590607767034
PINT_01257,1.36515122226726,-1.04017278097173,-1.35114885333908,-0.933482962060494,-0.254559872109103,-0.291099409588233,-0.370994021999491,1.93114435786466,0.650518120884778,0.424036190232038,0.539275324834568,-0.668667316015174
PINT_01258,1.66672757425903,-1.30432346188743,-1.34449666948334,-1.21907375741088,-0.0657180348850744,-0.0980971343044798,-0.10400966613503,1.64106541327452,0.373981137436533,0.257537912309113,0.474777578991022,-0.278370892163978
PINT_01259,2.15286786063321,-0.65147895124462,-1.21916938133502,-1.29319766812101,0.00209605318249091,-0.246012768640773,-0.390751676999376,1.51958692225533,0.465884323626697,-0.148884583698872,-0.0623105295665064,-0.128629600091562
PINT_01260,2.44492316283839,-0.91959427018533,-1.27864578103461,-0.914297598699382,0.409659473748177,0.173840235185838,0.1314634941856,1.03347572750898,0.0352088305432395,-0.311224975960219,-0.417686270631148,-0.387122027499528
PINT_01261,1.62494210030734,-1.15641363345427,-1.4388636013345,0.107863230091699,1.35750246981746,0.855796092428738,0.575708126861024,-0.236335906797433,-0.260133441832412,-0.904959648564604,-0.9529599862336,0.427854198710581
PINT_01265,0.987701325782788,-0.698800783186653,-2.00700288468273,0.405697077054383,0.663555597211906,-0.538368299490368,-0.698116937922649,1.36019150593687,0.221530603591669,0.596301719529893,-1.1024703057683,0.809781381943179
PINT_01266,1.37463573909834,-1.83655511043638,-1.51889429864602,0.461488999484621,0.0867013373985942,-0.092699218824755,-1.10033017918974,1.03192979406506,0.566531187257726,0.526025438577063,0.568757533828283,-0.067591222612804
PINT_01267,0.693250199134023,-0.104919017263349,-0.909202157338896,1.27214000999975,-0.940269382229538,-0.559227282997764,-0.725181071626141,0.285962408368195,0.176396298442336,2.11284422574744,-1.32778084113636,0.0259866109003088
PINT_01268,-1.45776373109346,1.06414046072326,-0.0696890285326757,0.515980653543164,-1.24881534751527,-1.04633251461182,-1.29689267487603,0.51152769781879,1.02186164339165,0.969155860595255,0.938249943768627,0.0985770367884778
PINT_01269,-1.35595183600421,1.30458076428867,0.31753855433825,0.429229632215585,-1.20151723674005,-1.27082556402838,-1.42111258837281,0.508624413480203,0.747329039824383,0.722002831439966,0.691845111915012,0.528256877643386
PINT_01270,-1.33372031455091,1.18072852633766,0.273159816854621,0.942721339552343,-1.36520189745119,-1.26041493267918,-1.28480349297608,0.457391410488352,0.898187393159269,0.475297991564928,0.539471136622768,0.477183023077416
PINT_01426,-0.0411064910596536,-1.27909599257591,-0.393030647137903,0.962587538015587,0.00634118990771859,-0.0258099062278047,-0.140169849322267,1.3355050133621,-0.489935000452333,-0.643398682050912,-1.31515570485231,2.0232685323937
PINT_01427,0.458704851630546,-0.843821695718335,-0.0831862493872159,0.819839013018239,0.116127703597395,0.10260749669874,0.0725814995070016,0.93787935962282,-0.924150712220929,-1.04594446567696,-1.60333716042865,1.99270035935735
PINT_01428,0.409166485646607,1.1648948279075,-0.956734922108418,0.0874071130195833,0.191834222078659,0.414627132522861,-1.13188080891509,-1.33234909889825,-1.33402001196113,1.49464167883907,1.12134327478944,-0.128929892921094
PINT_01429,-0.989476639690767,-0.348829765245631,0.46236993114916,1.46675382065056,-0.32779377911298,-0.544453956629399,-0.868029233050563,0.755293641936313,0.087035188251587,-0.456904028304073,-1.24556790649218,2.00960272653799
PINT_01461,1.02903056159409,0.823285037979186,-0.632576121394457,0.632520165130019,1.06257328239719,1.04790530108024,0.957642564325789,-1.21059004074377,-1.01946814075604,-1.10579297626462,-1.20203794706819,-0.382491686279422
