,13_PMUR-invitro.counts,14_PMUR-invitro.counts,15_PMUR-invitro.counts,16_PMUR-invitro.counts,17_PMUR-eSPF.counts,18_PMUR-eSPF.counts,19_PMUR-eSPF.counts,20_PMUR-eSPF.counts,21_PMUR-Conv.counts,22_PMUR-Conv.counts,23_PMUR-Conv.counts,24_PMUR-Conv.counts
PMUR_00211,1.3727577545007,1.25719619523509,1.30745691968158,1.43187301057286,-0.390527028709199,-0.65511059627651,-0.545294359778154,-0.586729384579425,-0.738484225608858,-0.813300345485479,-0.801742633025084,-0.838095306527519
PMUR_00212,1.21512788760543,1.34239710849709,1.37505555346309,1.3587214143382,-0.258132647755153,-0.497443865249047,-0.722471816574054,-0.563803801502139,-0.60559136794101,-1.10378852866789,-0.597391227171136,-0.942678709043392
PMUR_00213,1.22203208257467,1.14814812558923,1.22481695432744,1.61659359793056,-0.646189605757738,-0.250483072412207,-0.4883087115031,-0.241542434766029,-0.787275031153088,-1.14551333261301,-0.806954569083402,-0.845324003133331
PMUR_00214,1.33756832663661,1.19783589062247,1.42969056889986,1.2450753593379,-0.742831949419136,-0.843332048436536,-0.120795822375215,-0.553265658021829,-0.377963898482767,-0.930073855227263,-1.1690528451225,-0.472854068411587
PMUR_00215,1.12467704730181,1.24381954730015,1.45560970200894,1.3049375984744,-0.662334482336502,-0.732000832329128,0.0925419790289587,-0.382406280646495,-0.74900245309567,-0.802778251487582,-1.29275391402141,-0.600309660197466
PMUR_00216,-1.3647854902759,-1.25374301223551,-1.35678339337733,-1.32520770151528,0.97047367191976,0.809097754073478,0.806765847439165,0.519202474594374,0.949229316198862,0.296913607675409,0.552559327843437,0.396277597659536
PMUR_00217,-0.48396668459958,-0.235569814129012,-0.415792467519801,2.86921151850078,-0.455875057497211,-0.353978037976538,-0.434204260676114,0.990850522693963,-0.458414757743696,-0.322717619713405,-0.00148071198833596,-0.698062629351038
PMUR_00218,-0.877334434351998,-0.0529653260948264,-1.19952747056864,-0.218823934909569,1.26627446684253,-0.147728865304446,-0.269914742470944,0.835767459030863,1.56196872285431,-1.21352653427133,-0.933385583423704,1.24919624266779
PMUR_00219,-0.908192641458818,-0.511833578683799,-1.23512365296234,-0.934330301525332,1.35606817098416,0.380261091518742,-0.265304206790101,1.13423857948968,1.51780497635841,-0.91923108382495,-0.496826502103493,0.882469148997827
PMUR_00220,-1.43097692328495,-0.63165609083026,-1.19222044995761,-0.728530241190759,1.19837425528244,0.505427644814973,-0.247823157409412,1.27805613738955,1.46187876681956,-0.597524004111674,-0.376068386431892,0.761062448910047
PMUR_00221,0.333110694114372,1.13442711984739,0.264979992421297,0.442721378050117,0.565158801757198,-0.648725472446338,-1.63495291023096,0.551627174026677,1.41492431021838,-1.73073510186492,-0.782745455309018,0.0902094694158313
PMUR_00222,-0.842726964086378,-0.940946138145679,-1.17492536799047,-0.861263494033484,1.05584560540975,0.33767824650127,-0.450781135675548,1.27181150972442,1.69044993619264,-0.0164527670672922,-0.86272014786199,0.794030717032796
