,1_PROD-invitro.counts,10_PROD-Conv.counts,11_PROD-Conv.counts,12_PROD-Conv.counts,2_PROD-invitro.counts,3_PROD-invitro.counts,4_PROD-invitro.counts,5_PROD-eSPF.counts,6_PROD-eSPF.counts,7_PROD-eSPF.counts,8_PROD-eSPF.counts,9_PROD-Conv.counts
PROD_01882,0.0937287624355625,-1.569042012469,-1.23990883471285,-0.942771570387733,0.00836364625285272,-0.171905397216339,-0.0631336003129292,1.13657596803709,1.24614840403218,0.888121683634977,1.36702525553641,-0.753202304830231
PROD_01883,0.371803603712869,-1.72740447038463,-1.12069844076147,-1.42043168009072,0.243949064710859,0.100442485517289,0.083625777873828,0.902121829015641,1.1282599693463,0.88772747029019,1.14167815342635,-0.591073762656497
PROD_01884,0.356355140040964,-1.86967644418158,-1.11339295176818,-1.14628377197959,0.244971532133155,0.124187961728057,0.107158022667274,0.892586011184799,1.06447189491753,0.887174639641032,1.20539467518593,-0.752946709569399
PROD_01885,-0.379605133506373,-1.43781460999773,-1.11833017413466,-1.10374741389162,-0.220044800568449,-0.00627235759640198,-0.193296952626297,1.06789684512213,1.41392339911775,0.883895675068873,1.47277391645975,-0.379378393446975
PROD_01886,0.299305052033069,-1.80143169082161,-0.979311377594573,-1.67035518812731,-0.0478523143066538,0.131716206974755,0.408448489709225,1.29645995306294,0.651332428884208,0.34225782156554,1.21847606076563,0.150954557854805
PROD_02112,1.10696214265214,-1.20760539114127,-0.67177927988828,-1.80469307406305,0.776957788306091,0.388009105690831,0.732271501635521,1.02501664725652,-1.01231576098294,-0.554010623805556,0.302644902066906,0.918542042273054
PROD_02113,-0.255056344434628,-0.76176265121955,-0.632581704381084,-0.156856201133732,1.27335427756373,2.06206919710087,1.47246161264087,-0.628797289280956,-0.706939893268594,-0.761093812905115,-0.499589375260128,-0.405207815421694
PROD_02114,-0.810427588442106,-0.120920650600174,0.0196185922186351,0.537172485824802,-0.819700391557363,2.73785770699926,0.396221904185333,-0.870375762681521,-0.881947838289915,-0.177558456878848,-0.276924438914224,0.266984438136134
PROD_02115,0.763081558077297,-0.650191302741529,-0.308914171047998,-1.23467290016331,0.897429950762537,0.638004618789038,0.704329977930253,-0.694949110379781,-0.270525942111347,-1.6093868285608,-0.107386353829491,1.87318050327511
PROD_02116,1.63597673753302,-0.242684556028725,-0.586805374862893,-0.748650088688804,1.38990411141094,0.933849311211466,0.991659303178529,-1.02138065122487,-0.737723841262359,-1.11604575609401,-0.803804603977257,0.305705408804962
PROD_02117,1.12840088181064,-0.568458387807354,0.242300916264415,-0.568073432148479,0.990881535468193,0.688522313581088,0.748149154603466,-0.854587633196465,-0.804470526932054,-1.77548815488263,-0.657148108840715,1.42997144207988
