# bin	superkingdom	phylum	class	order	family	genus	species
MAG084	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG085	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG086	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG087	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Z-noStdName
MAG088	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG089	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG090	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes
MAG091	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes
MAG092	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes
MAG093	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis
MAG094	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Z-noStdName
MAG095	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. 51_20
MAG096	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Z-noStdName
MAG097	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. CAG
MAG098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Z-noStdName
MAG099	Bacteria	Proteobacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Proteobacteria bacterium CAG
MAG100	Bacteria	Proteobacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG101	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG102	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG103	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Z-noStdName	Z-noStdName
MAG104	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Z-noStdName	Z-noStdName
MAG105	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter massiliensis*
MAG106	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. KGMB03119
MAG107	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. KGMB03119
MAG108	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Z-noStdName
MAG109	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Z-noStdName
MAG110	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Z-noStdName	Z-noStdName
MAG111	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Z-noStdName	Z-noStdName
MAG112	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. AM11-39
MAG113	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. AM11-39
MAG114	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. AM11-39
MAG115	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Z-noStdName	Z-noStdName
MAG116	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Z-noStdName	Z-noStdName	Z-noStdName
MAG117	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. CAG
MAG118	Bacteria	Verrucomicrobia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG119	Bacteria	Verrucomicrobia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG120	Bacteria	Verrucomicrobia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG121	Bacteria	Verrucomicrobia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG122	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita sp. CAG
MAG123	Bacteria	Verrucomicrobia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG124	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Z-noStdName	Z-noStdName	Victivallales bacterium CCUG 44730*
MAG125	Bacteria	Lentisphaerae	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG126	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Z-noStdName	Z-noStdName	Z-noStdName
MAG127	Bacteria	Lentisphaerae	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG128	Bacteria	Lentisphaerae	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG129	Bacteria	Lentisphaerae	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG130	Bacteria	Lentisphaerae	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG131	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia*	Z-noStdName
MAG132	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia*	Z-noStdName
MAG133	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia*	Z-noStdName
MAG134	Bacteria	Lentisphaerae	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG135	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Z-noStdName	Z-noStdName
MAG136	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Z-noStdName	Z-noStdName
MAG137	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Z-noStdName	Z-noStdName	Selenomonadales bacterium*
MAG138	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG139	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG140	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	uncultured Eubacterium sp.
MAG141	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG142	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG143	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG144	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG145	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG146	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG147	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG148	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG149	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus lactaris
MAG150	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Z-noStdName	Z-noStdName
MAG151	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG152	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Z-noStdName
MAG154	Bacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG155	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG
MAG156	Bacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG157	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Z-noStdName
MAG158	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Z-noStdName
MAG159	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG
MAG160	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. CAG
MAG161	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG162	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG
MAG164	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG165	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG166	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG167	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG168	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Z-noStdName	Z-noStdName
MAG169	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG170	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG171	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG172	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG173	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG174	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG175	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG176	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG177	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG178	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG179	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG180	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG181	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG182	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG183	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG184	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG185	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG186	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG187	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG188	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG189	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	uncultured Clostridium sp.
MAG190	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Z-noStdName	Z-noStdName
MAG192	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Z-noStdName
MAG193	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Z-noStdName
MAG194	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG195	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG196	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG197	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG198	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis
MAG199	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG200	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG201	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG202	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG
MAG203	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG204	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Z-noStdName	Lachnospiraceae bacterium TWA4
MAG205	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus catus
MAG206	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG207	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG208	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG209	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG210	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Z-noStdName
MAG211	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Z-noStdName
MAG212	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Z-noStdName
MAG213	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG214	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG215	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG216	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG217	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG218	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG219	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG220	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Z-noStdName	Z-noStdName
MAG221	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp. CAG
MAG222	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
MAG223	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
MAG224	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Z-noStdName
MAG225	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister succinatiphilus
MAG226	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister succinatiphilus
MAG227	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister succinatiphilus
MAG228	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister sp. CAG
MAG229	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister sp. CAG
MAG230	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Z-noStdName
MAG231	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Z-noStdName
MAG232	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus timonensis
MAG233	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans
MAG234	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Z-noStdName
MAG235	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Z-noStdName
MAG236	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Z-noStdName
MAG237	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Z-noStdName
MAG238	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera micronuciformis
MAG239	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum ruminis*
MAG240	Bacteria	Actinobacteria	Actinobacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG241	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces bouchesdurhonensis
MAG242	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
MAG243	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Z-noStdName
MAG244	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Z-noStdName
MAG245	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
MAG246	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Z-noStdName
MAG247	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Z-noStdName
MAG248	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Z-noStdName
MAG249	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Z-noStdName
MAG250	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum
MAG251	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Z-noStdName
MAG252	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Z-noStdName
MAG253	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Z-noStdName
MAG254	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella provencensis
MAG255	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella catena*
MAG256	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Z-noStdName	Z-noStdName
MAG257	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Z-noStdName
MAG258	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG259	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG260	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG261	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG262	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG263	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG264	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG265	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG266	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG267	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG268	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG269	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Z-noStdName
MAG270	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis
MAG271	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia piriformis
MAG272	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	Senegalimassilia sp. KGMB04484
MAG273	Bacteria	Actinobacteria	Coriobacteriia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG274	Bacteria	Actinobacteria	Coriobacteriia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG275	Bacteria	Actinobacteria	Coriobacteriia	Z-noStdName	Z-noStdName	Z-noStdName	Coriobacteriia bacterium*
MAG276	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Z-noStdName	Z-noStdName
MAG277	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter pamelaeae
MAG278	Bacteria	Actinobacteria	Coriobacteriia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG279	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Z-noStdName	Z-noStdName
MAG280	Bacteria	Actinobacteria	Coriobacteriia	Z-noStdName	Z-noStdName	Z-noStdName	Coriobacteriia bacterium*
MAG281	Bacteria	Actinobacteria	Coriobacteriia	Z-noStdName	Z-noStdName	Z-noStdName	Coriobacteriia bacterium*
MAG282	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Z-noStdName
MAG283	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Z-noStdName
MAG284	Bacteria	Actinobacteria	Coriobacteriia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG285	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella sp. CAG
MAG286	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Cryptobacterium	Cryptobacterium sp. CAG
MAG287	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG288	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG289	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG290	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG291	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG292	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp. CAG
MAG293	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp. CAG
MAG294	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG295	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG
MAG296	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG
MAG297	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium 41_21_two_genomes
MAG298	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium coprostanoligenes
MAG299	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG
MAG300	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG
MAG301	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG302	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG
MAG303	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG
MAG304	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Z-noStdName
MAG305	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Z-noStdName
MAG306	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Z-noStdName
MAG307	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG
MAG308	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Z-noStdName
MAG309	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG
MAG310	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG311	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Z-noStdName
MAG312	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Z-noStdName
MAG313	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Z-noStdName
