# bin	superkingdom	phylum	class	order	family	genus	species
MAG579	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. 5CPEGH6
MAG580	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG581	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes senegalensis
MAG582	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG583	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG584	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG585	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG586	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG587	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG588	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Z-noStdName
MAG589	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Bacteroidales bacterium 55_9
MAG590	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Z-noStdName	Z-noStdName	Flavobacteriales bacterium
MAG591	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Z-noStdName	Z-noStdName
MAG592	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG593	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG594	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG595	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG596	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
